cpu_usage,gpu_wrk_util,avg_mem,max_mem,avg_gpu_wrk_mem,max_gpu_wrk_mem,read,write,read_count,write_count,memory_pressure,is_init_failure,cpu_gpu_imbalance,gpu_stress_score,gpu_/dev/nvidia1,gpu_/dev/nvidia2,gpu_/dev/nvidia3,gpu_/dev/nvidia4,gpu_/dev/nvidia5,gpu_/dev/nvidia6,gpu_/dev/nvidia7
28.27272727272728,0.0,0.2920673076923077,0.3486328125,0.0,0.0,62424002.33333334,79148785.46666667,9565.333333333334,6227.6,0.0,1,28.27272727272728,0.0,0,0,0,0,0,0,1
22.81481481481481,0.7333333333333333,0.3901535560344828,1.134765625,0.13388671875,0.3408203125,35346530.67741936,30681573.77419355,9874.483870967742,7367.225806451613,0.34316416364577934,1,22.081481481481475,6.132815403202528e-06,0,0,0,0,0,0,0
36.2,1.3636363636363635,0.3708274147727273,1.025390625,0.1549183238636363,0.3408203125,44349907.333333336,39398074.79166666,11259.125,8108.125,0.4177639454153697,0,34.836363636363636,1.3195393073997613e-05,0,0,0,0,0,0,1
43.105263157894754,0.0,0.3842540922619048,0.8271484375,0.1195845170454545,0.3408203125,41451553.52173913,40879972.17391305,9827.0,6784.652173913043,0.31121208453896326,1,43.105263157894754,0.0,0,0,0,1,0,0,0
27.592592592592588,0.0,0.4300579202586208,1.765625,0.1329808728448276,0.3505859375,35351750.67741936,30678434.16129032,9694.32258064516,7284.451612903225,0.30921619293712316,1,27.592592592592588,0.0,0,1,0,0,0,0,0
24.157894736842103,0.0,0.298921130952381,0.3515625,0.0060813210227272,0.1337890625,39841132.65217392,45351928.73913044,9635.565217391304,7366.130434782609,0.020344232618656765,1,24.157894736842103,0.0,0,0,0,0,0,0,1
23.15151515151515,0.0,0.6130301339285714,0.8837890625,0.085476345486111,0.1337890625,22697591.75675676,25272020.324324325,5472.243243243242,3511.081081081081,0.13943253480598145,1,23.15151515151515,0.0,0,0,0,1,0,0,0
28.65217391304348,0.0,0.3572520380434783,0.8544921875,0.0639860733695652,0.1337890625,36594777.48,37683070.16,10311.76,7311.28,0.17910625148561912,1,28.65217391304348,0.0,0,0,0,0,0,1,0
30.117647058823533,0.0,0.3707339638157896,0.8583984375,0.046826171875,0.1337890625,41852967.80952381,44562068.38095238,9728.90476190476,6432.952380952382,0.12630666851518088,1,30.117647058823533,0.0,0,0,0,0,0,0,1
20.761904761904766,0.0,0.3401834239130434,0.7705078125,0.0,0.0,35513674.2,37581198.0,9401.04,6568.64,0.0,1,20.761904761904766,0.0,0,1,0,0,0,0,0
45.0,0.0,0.1494140625,0.2900390625,0.0,0.0,47959252.4,65788566.6,5774.6,3896.6,0.0,1,45.0,0.0,1,0,0,0,0,0,0
36.333333333333336,0.0,0.259765625,0.3046875,0.0557454427083333,0.1337890625,53200444.53846154,64160602.3076923,10491.23076923077,6553.846153846153,0.2145989974937342,1,36.333333333333336,0.0,0,0,0,0,0,0,1
33.214285714285715,0.0,0.340234375,0.4921875,0.1788832720588235,0.3408203125,53868510.94117648,55407912.11764706,11464.823529411766,218012.7058823529,0.525764840953603,1,33.214285714285715,0.0,0,0,0,1,0,0,0
36.266666666666666,0.1111111111111111,0.71826171875,1.2646484375,0.1378038194444444,0.3408203125,37775125.88888889,44359255.05555555,5335.666666666667,106786.05555555556,0.1918573910416194,1,36.15555555555555,9.564003224645198e-07,0,0,0,1,0,0,0
15.846153846153848,0.0,0.3294852120535714,0.787109375,0.0415207435344827,0.1337890625,30237443.066666663,31453048.83333333,8779.1,6482.533333333334,0.12601701689644204,1,15.846153846153848,0.0,0,1,0,0,0,0,0
36.9,0.0,0.34375,0.7919921875,0.053515625,0.1337890625,67106880.83333334,84059714.83333333,9987.0,6193.166666666668,0.15568181818181817,1,36.9,0.0,0,0,1,0,0,0,0
16.060606060606062,0.0,0.3064970128676471,0.451171875,0.053515625,0.1337890625,24144571.30555556,26203446.16666667,6999.194444444444,5492.36111111111,0.1746040670977415,1,16.060606060606062,0.0,0,0,0,0,0,0,0
8.274193548387098,0.0,0.3013153076171875,0.7802734375,0.02508544921875,0.1337890625,13009806.93939394,14144297.06060606,2885.4848484848485,1737.6060606060605,0.08325315237757634,1,8.274193548387098,0.0,0,0,1,0,0,0,0
